k [h/Mpc]	D2 - halo model	2-halo	1-halo	halofit
1.19	28.99026915465265	3.563799094348182	25.426470060304467	26.993130108089982
1.21	30.147102791592317	3.603544921932541	26.543557869659775	27.874618532566778
1.23	31.327571085053837	3.642901628089941	27.684669456963896	28.766110709020168
1.25	32.53141003377922	3.681877764495551	28.849532269283667	29.667337508075025
1.27	33.75834052875955	3.7204815823922583	30.03785894636729	30.578032097798683
1.29	35.00806907972983	3.758721047261651	31.24934803246818	31.497930149992253
1.31	36.280288543728375	3.796603852578567	32.483684691149804	32.426770032514845
1.33	37.574678854171964	3.834137432718299	33.74054142145366	33.364292988323484
1.35	38.890907748940556	3.8713289750795705	35.019578773860985	34.31024330183579
1.37	40.22863149601329	3.908185431480891	36.320446064532405	35.264368453159
1.3900000000000001	41.58749561524891	3.9447135288830095	37.642782086365905	36.226419260672074
1.4100000000000001	42.96713559495818	3.9809197794858515	38.98621581547233	37.19615001240037
1.4300000000000002	44.36717760197369	4.016810490244025	40.35036711172966	38.17331858658215
1.45	45.787239183983075	4.052391771841744	41.734847412141335	39.1576865617925
1.47	47.22692996295455	4.087669547164281	43.13926041579027	40.14901931696324
1.49	48.68585231854745	4.122649559300372	44.563202759247076	41.147086121615004
1.51	50.16360206046829	4.157337379107146	46.006264681361145	42.15166021660126
1.53	51.65976908879895	4.191738412366643	47.46803067643231	43.162518885650535
1.55	53.17393804139294	4.225857906560775	48.94808013483216	44.17944351798432
1.57	54.7056889275036	4.259700957289493	50.445987970214105	45.2022196622817
1.59	56.25459774687927	4.293272514355069	51.9613252325242	46.23063707225894
1.61	57.82023709362683	4.326577387533616	53.49365970609321	47.264489744129904
1.6300000000000001	59.40217674421645	4.359620252053505	55.042556492162944	48.30357594621481
1.6500000000000001	60.99998422906668	4.392405653798753	56.60757857526793	49.347698240966054
1.6700000000000002	62.61322538721711	4.424938014254281	58.18828737296283	50.396663499682035
1.6900000000000002	64.24146490366157	4.457221635208659	59.78424326845291	51.45028291018494
1.71	65.88426682897948	4.4892607032287595	61.39500612575072	52.508371977740595
1.73	67.5411950809661	4.521059293920001	63.0201357870461	53.570750519503555
1.75	69.2118139280231	4.552621375984495	64.6591925520386	54.63724265277414
1.77	70.89568845413129	4.583950815088983	66.3117376390423	55.70767677735783
1.79	72.59238500528198	4.615051377553366	67.97733362772861	56.78188555232016
1.81	74.3014716173011	4.645926733869934	69.65554488343118	57.85970586743372
1.83	76.02251842504987	4.676580462062965	71.3459379629869	58.940978809614755
1.85	77.75509805303594	4.707016050897305	73.04808200213863	60.02554962464881
1.87	79.49878598751773	4.73723690294436	74.76154908457337	61.11326767450428
1.8900000000000001	81.25316093022546	4.767246337513234	76.48591459271223	62.20398639053297
1.9100000000000001	83.01780513386669	4.797047593454187	78.2207575404125	63.297563222854784
1.9300000000000002	84.79230471962177	4.826643831841263	79.9656608877805	64.39385958622096
1.95	86.57624997686871	4.856038138540433	81.72021183832828	65.49274080264748
1.97	88.3692356454125	4.8852335266692	83.4840021187433	66.5940760411056
1.99	90.17086118052096	4.914232938953301	85.25662824156765	67.69773825455157
